material_id,cpse_id,sector,plant_code,source_material_code,material_type,material_description,technical_spec_text,uom,existing_material_group,unit_price_inr,current_stock_qty,annual_procurement_qty,bucket,human_review_flag
MAT-ST-000001,CPSE-SAIL,Steel & Metals,SAIL-ROURKELA-STEEL-PLANT,MAT-700222,ERSA,BEARING BALL 6206 OPEN C3,DEEP GROOVE BALL BEARING 30X62X16MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455,EA,MRO-BEARINGS,454.31,10,36,BKT-BRG-DGBB-6206-OPEN-00001,False
MAT-GT-000002,CPSE-GAIL,Gas Transmission & Petrochem,GAIL-PATA-PETROCHEMICAL,MAT-671979,ERSA,BEARING BALL 6306 OPEN C3,DEEP GROOVE BALL BEARING 30X72X19MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455,EA,MRO-BEARINGS,776.04,6,21,BKT-BRG-DGBB-6306-OPEN-00002,False
MAT-OG-000003,CPSE-ONGC,Oil & Gas Upstream,ONGC-RAJAHMUNDRY-ASSET,MAT-941341,ERSA,MCB 20A 1P C CURVE 10KA,MINIATURE CIRCUIT BREAKER 20A 1P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1,EA,ELECTRICAL-SWITCHGEAR,308.48,13,41,BKT-ELE-MCB-20A-1P-C-00003,False
MAT-OG-000004,CPSE-ONGC,Oil & Gas Upstream,ONGC-HAZIRA-GAS-PLANT,MAT-459605,ERSA,MCB 20A 1P C CURVE 10KA,MINIATURE CIRCUIT BREAKER 20A 1P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1,EA,ELECTRICAL-SWITCHGEAR,247.8,16,82,BKT-ELE-MCB-20A-1P-C-00003,False
MAT-PW-000005,CPSE-NTPC,Thermal Power Generation,NTPC-SINGRAULI-STPS-2000MW,MAT-736693,ERSA,BEARING BALL 6204 OPEN C3,DEEP GROOVE BALL BEARING 20X47X14MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455,EA,MRO-BEARINGS,291.6,5,20,BKT-BRG-DGBB-6204-OPEN-00004,False
MAT-OG-000006,CPSE-ONGC,Oil & Gas Upstream,ONGC-MUMBAI-HIGH-OFFSHORE,MAT-599450,ERSA,BEARING BL 6204 OPEN C3,DEEP GROOVE BALL BEARING 20X47X14MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455,EA,MRO-BEARINGS,275.18,6,20,BKT-BRG-DGBB-6204-OPEN-00004,False
MAT-ST-000007,CPSE-SAIL,Steel & Metals,SAIL-ROURKELA-STEEL-PLANT,MAT-558967,HIBE,SPIRAL WOUND GASKET 4 INCH 150# SS304/GR,SPIRAL WOUND METALLIC GASKET 4 INCH CLASS 150# CENTERING RING CS INNER RING SS304 GRAPHITE FILLER ASME B16.20,EA,GASKETS-SEALING-PRODUCTS,486.39,234,885,BKT-SEAL-SPRL-4INCH-150#-SS304-00005,False
MAT-ST-000008,CPSE-SAIL,Steel & Metals,SAIL-BOKARO-STEEL-PLANT,MAT-796876,HIBE,HEX HEAD BOLT M20 X 65MM GR 8.8,HEXAGONAL HEAD BOLT HIGH TENSILE M20 X 65MM LENGTH PROPERTY CLASS 8.8 IS 1364 / ISO 4014 GALVANIZED,NO,HARDWARE-FASTENERS,116.87,152,472,BKT-FAS-BOLT-M20X65MM-8.8-00006,False
MAT-OG-000009,CPSE-ONGC,Oil & Gas Upstream,ONGC-URAN-PROCESSING-PLANT,MAT-797502,HIBE,STUD BOLT 1/2 INCH X 90MM B7 W/2NUTS 2H,HIGH TENSILE ALLOY STEEL STUD BOLT 1/2 INCH X 90MM ASTM A193 B7 WITH 2 HEAVY HEX NUTS ASTM A194 2H,SET,HARDWARE-FASTENERS,216.35,37,188,BKT-FAS-STUD-12INCHX90MM-B7-2H-00007,False
MAT-PW-000010,CPSE-NTPC,Thermal Power Generation,NTPC-SINGRAULI-STPS-2000MW,MAT-872018,ERSA,BEARING BALL 6305 OPEN C3,DEEP GROOVE BALL BEARING 25X62X17MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455,EA,MRO-BEARINGS,441.97,15,37,BKT-BRG-DGBB-6305-OPEN-00008,False
